label	text_a
肖战余生请多指教	转发理由:希望肖战一辈子平安幸福//@艾酱DAYTOY:蜜糖里长大的兔兔//@为你点赞赞赞赞:连那姐都说他的眼神里带着自信，自信是有一个幸福的家庭和充满爱的环境里养成的，羡慕嫉妒他的家庭的就开始黑了吗？看来黑子的爸爸妈妈每天都虐待她！//@T的白衬衫:怎么会有人质疑他的原生家庭啊原始用户:肖战_bot转发内容:幸福的兔子一家人！赞[17159]原文转发[8880]原文评论[3189]转发理由:希望肖战一辈子平安幸福//@艾酱DAYTOY:蜜糖里长大的兔兔//@为你点赞赞赞
肖战疾冲	狼殿下肖战肖战疾冲无论你做什么决定，无论你走到哪里，我都会无条件支持你、爱你，坚持到底[鲜花]肖战最优秀
肖战	转发理由://@肖战影音会官微:锁明光神容，簇锦画灵鸟，晴以今夜尖叫。期待解锁尖叫惊喜！原始用户:肖战工作室转发内容:胆色存心墨未凉，玉韫珠藏炬成峣。身穿黑色暗花短袍，风雅如斯。今晚舞台见。
肖战最好的你	xz兔粮！！！我差点忘记了[二哈]
晚安	晚安肖先生💫好好吃饭！顺顺利利！开开心心做自己❤
肖战	一切准备就绪~就等八点啦
肖战我们的歌	转发理由:码//@MorningGlory_肖战资源博:[给你小心心]【高清】191202博朗品牌分享会原始用户:HeartSniper丨1005转发内容:📷驰骋商场的肖总不经意间也会暴露可爱本质🐰🍸
肖战	转发理由://@李美美诶:感谢分享。配戴的@TiffanyAndCo蒂芙尼胸针，真的太好看了，熠熠星光，为造型增添璀璨焦点。原始用户:TiffanyAndCo蒂芙尼转发内容:熠熠星光，点亮微博之夜。耀目出众的蒂芙尼系列珠宝，为不同造型增添璀璨焦点。举手投足之间，彰显独特魅力姿态。@李宇春@童瑶@李斯丹妮@黄晓明@M孟佳J@宋威龙99@李佳琦Austin
肖战	谢谢大家让我睡觉可以更快点，可以更早点
肖战	{\__/}(•-•)/つ✓✓✓
肖战	转发理由:手咋了宝贝要照顾好自己呀原始用户:SeanOfMiracle·肖战转发内容:|191028我们的歌发布会珍惜拥有Love‘sbeautifulSobeautiful//
肖战顾魏	XZ斗地主了，谁是地主
肖战斗罗大陆	xz每个人都是一个光点，活成自己的一束光，大家凑到一起，汇聚成光芒。跟随偶像肖战，心怀感恩，保持善良和坦荡，从光点出发，同舟共济，风雨同行。做最好的自己，守护最好的你！肖战余生请多指教肖战斗罗大陆
电视剧斗罗大陆	转发理由://@1005号肥虾饲养部:恭喜三三毕业演员肖战继续加油原始用户:腾讯视频转发内容:恭喜史兰客全员毕业！即将奔赴属于你们的未来！回望成长之路跌跌撞撞，心怀赤子之心的你们无畏前行，遇见了更好的自己这一路以来的相伴，感谢每一位伙伴，我们不说再见
肖战	xz我见万物皆草木唯你是青山求兔，在线回。
肖战斗罗大陆	xz肖战清爽干净！肖战真诚随性！肖战温暖平和！肖战呆萌可爱！肖战丰神俊朗！肖战酷帅无比！肖战正能量艺人！肖战踏实认真！
肖战	9.18铭记历史，缅怀先烈；勿忘国耻，捍卫和平；吾辈自强，砥砺前行；努力奋斗，谱写未来。
肖战	转发理由:未来一起走！原始用户:DAYTOY骑士站转发内容:大家好，今天是骑士站成立三周年的日子。三年前，战家还没有反黑站，那时候他的粉丝很少，唯粉更少。我们因为看到小赞和小飞侠在一次次的线上线下遭遇中，饱受欺凌、攻击和污蔑，无处发声和澄清，无人护卫和反击，所以毅然决然地以“亚瑟王和圆桌骑士”的寓意，成立了反黑骑士站。我们希望自己能以一段光荣的传说为指引，“英勇的骑士们只参加正义的战争”，锋芒对外，护盾守内。骑士的第一准则，爱他且只爱他，我们永远都只忠于心中的那一位英雄。三年来，我们经历了许多故事，故事里固然有愤怒委屈、热血激昂，但更多的是漫长陪伴的平淡荣光。三年来，我们看到了小赞在不断的努力之下，从默默无闻走到众人之前，光芒万丈。三年来，我们看到了侠的逆袭，虾的守护，霞的征战，这个家庭越来越壮大，在对抗黑暗的道路上，我们也不再孤单。在这里，骑士有几句发自内心的话想对大家讲。骑士一直把小赞那句“做吧，总会有人看到的”话当做座右铭，做一名真的君子，讷于言而敏于行。无论何时，我们都在。反黑是一件很累很枯燥的事，但这是不应该逃避的事。我们在壮大，黑子也是一样，所以，我们要更努力才能保护他。骑士一路走来磕磕绊绊，人多了不同的声音固然难以统一，但正是这一份份的敦促、包容、批评和信任，让我们获得了努力变得更好的力量。黑子的角度无孔不入，节奏也是花样百出，请大家相信他，相信自己人，跟着官方的脚步走。三年前，骑士发送了第一条微博，目前评论条数为14，在这14条评论里，6条是骑士自己发的，2条新粉考古（枯了），可是我们还是能看到，第一条微博转发的大多数人都还在。我们从来没有后悔过追寻光芒，从来没有畏惧过黑暗，很高兴与大家相伴三年，接下来还有漫长的旅程，希望大家与骑士一起走下去。永远的“肖战至上主义者”骑士敬上
肖战	大家今晚高兴咩睡前检查一下签到了吗忘记了的赶紧哦其他不会的看这里寻艺明权和送花盖楼【配图仅仅是玩梗】xz
肖战最好的你	xz願你眼裡是陽光，笑里是坦蕩。一路相伴!加油戰戰！願你星途坦蕩💫🌌願你再無風霜💫🌌願你平安順遂💫🌌願你越來越好💫🌌熱愛可抵歲月漫長彼此保護從來不是說說而已不相忘,勿相忘
支持肖战代言	xz速报！百威果啤ME3补货了组合装也有还没买的宝宝们可以下手了！！！下单记得备注【肖战粉丝小飞侠】
肖战	📝记录4-5点
肖战	"🐷对着吃播咽""口水"""
肖战斗罗大陆	XZ今日积分贴求[兔子]，互捞❤❤愿你平安无疾，星途坦荡，未来繁花似锦，被这个世界温柔以待❤❤
肖战斗罗大陆	“哪怕生活没有那么的顺心顺意，哪怕生活总要面各样的困难，但是依然要坚定地向前看、向上走、不回头。”——肖战肖战
肖战斗罗大陆	xz“明天的事情明天再说，今天的我要共你舞尽磁带这一盒。它列满了蓬勃着的自由，年轻着的潇洒，新颖又好奇的向往，燃烧欲望和浪漫，直接热烈，把烦恼抛得毫不犹豫，孤单跳进舞池赶跑。只要你敢，只要你想。酣畅淋漓的投入和享受，甩开的不止是遮挡让无数男女痴迷的双眼的眼镜，还有无拘无束扭动的膀子和舞步。我见着一位漂亮又潇洒，风流又倜傥的万人迷在彼端冉冉升起，信手拿捏的都是爱恋和性感，狂野与热望。”深茶Daisy那战队恼人的秋风肖战壁纸肖战图片xzxzgg
狼殿下肖战	🐧五亿啦如果前两天🐧没出bug肯定会更高xz
早安	早安|朋友圈背景图|治愈系无水印壁纸❤
肖战	Nohurry,thebestalwaysappearsaccidentally.不要着急，最好的总是会在不经意的时候出现。
肖战	转发理由:原始用户:反派水蜜桃转发内容:你的每一帧我都想妥帖收藏🌹
肖战	终于整理完1/3了先这样吧…熬不住了
肖战唐三	小玫瑰签到领明信片的宝宝，记得补拍邮费哦xz
肖战斗罗大陆	宝子们，腾讯视频微博之夜直播发电每个人有免费的十个，去送给哥哥【免费的】【免费的】【免费的】xz
肖战最好的你	xz今天的兔兔，20个，让我拿满吧[可怜]今天也超喜欢肖战的
肖战余生请多指教	xz肖战正能量艺人，肖战粉丝热心做公益，肖战演技好，肖战唱歌棒，肖战颜值高，肖战暖心，肖战人品好，肖战有礼貌，肖战工作努力，肖战非常敬业，肖战尊敬前辈，肖战绅士风度，肖战三观正，愿肖战越来越好
肖战斗罗大陆	xz宝贝们，傍晚好，📣📣见扩见顶，不要忘记基础呀❗️❗️1.哥哥上热搜了，多发原创多加热2.花十秒做一下寻权3.再花十秒送三朵小花花给大帅哥送花链接非常非常简单，不要拖，很多人想拖到晚上做最后就忘记啦4.做完了继续追剧继续炖鹅[牛牛哒]
肖战	今年没忍住跟风集了一下福卡！结果…咋的？合着就只给我和谐友善了呗!
肖战平安喜乐	Vogueme公众号更新👇🏻重庆的轻轨穿楼，重庆的男人穿心因为一个人爱上一座城！来看重庆帅崽肖战xzgg
肖战	"哈哈哈哈哈营业中的牛蒙蒙-又""惨""又可爱"
肖战	转发理由://@1005号肥虾饲养部:努力终会有收获，唐三毕业快乐原始用户:央视频转发内容:【速速收藏！最新来啦】努力终会有收获，这万众瞩目的对决，一定赢得漂亮！@王亦凡_Neo@周小川_grey偷偷告诉你，现在直播间转盘抽奖礼品数量加磅，签名照、斗罗盲盒、央视频周边好礼等你来！[礼物]~速进→
肖战最好的你	xz今天早点来，想要25个兔兔
肖战	宝贝们，打开电视机，打开央视频追剧咯追剧咯xz
肖战	就喜欢你帅气中带着沙雕知道你在后台等无聊了
肖战最好的你	xz提升自己才能有更多的机会去靠近他，大家每天都要开开心心顺顺利利啊！肖战，你特别好，我们宇宙无敌超级爆炸喜欢你！[害羞]【求今日】
肖战最好的你	可以给我20个兔兔让我满足一下吗
肖战唐三	xz追剧啦追剧啦弹幕评论不要停
肖战	耗子接消息不稳，求个兔兔凑个十五子。
苏战	《西江月》还有十章左右完结，蹲一个大家想看什么类型的，要开现代了。校园明目张胆的暗恋？天才设计师和青梅小助理？野哥？霸总？甜文？虐文？爽文？换了个头像[笑cry]我家阿虾已经好多认不出我来了。
肖战最好的你	xz今天是陈情令开拍2周年纪念日，有幸认识你，战羡
肖战余生请多指教	[微风]xzxzxzxz今日积分贴，诚信互捞，指路必回，求二十个兔兔
电视剧斗罗大陆	转发理由://@肖战影音会官微:戮力同心，所向披靡，战无不胜。[加油][加油]原始用户:电视剧斗罗大陆转发内容:【魂力buff】团结一心，方可所向披靡。@吴宣仪_Betty@辰亦儒@演员邱心志@高泰宇GTY@刘美彤@Liurn刘润南@丁笑滢@敖子逸@张雯
肖战	xz友友们周一啦抛点🐔分啦
肖战	走过路过兔兔兔兔兔兔兔个树树
肖战	xzxz§∩﹏∩╭︿︿╮╭─☆─★─☆─★─☆─╮╰──╯|🌈❤爱你的第XZ天❤🌈│╰○○╯╰─★─☆─★─☆─★─╯✨愿你所去之地皆有阳光✨愿你将遇之人皆为良善✨愿你所得皆所期，所失亦无碍───────♥ʟᴏᴠᴇ💌ʏᴏᴜ♥────────
肖战	"""舞台是我的起点，但不会是我的终点""加油！12月"
肖战斗罗大陆	转发理由://@肖战影音会官微:携友共征程，猛志常在，驰而不息。[加油]原始用户:电视剧斗罗大陆转发内容:【魂力buff】战局诡谲，危机四起，史兰客七怪携手共进退！@吴宣仪_Betty@高泰宇GTY@刘美彤@Liurn刘润南@丁笑滢@敖子逸
肖战	我以为完结后会断崖式下跌没想到…也就那样吧…🚬（我不能夸
肖战	宝贝们晚上吃完饭记得看下小寻和小明哦十三万冲冲冲xz
肖战斗罗大陆	花絮里面的丸子头小唐三
早安	早安~除夕快乐今天开始就开启各式饺子生活啦
肖战	原来是去年画的…
肖战	转发理由:思路清奇集美你加油原始用户:大澄子的母上大人转发内容:xz肖战，好多🦐🦐们在嚷嚷减肥，说要有机会跟你见面时，瘦成你能公主抱抱起的标准。我就在一旁偷偷乐呵，这些家伙们，等见到舞台上的你时她们都瘦成闪电你能看到谁？？我！我胖！面积大！这么想想，我继续该吃吃该喝喝，我要做人群中最耀眼（pang）的！继续期待肖战斗罗大陆！肖战余生请多指教！
肖战我喜欢你	❗我们的肖战宝贝每天值得万夸❗肖战让世界更美丽肖战我喜欢你我喜欢肖战支持肖战影视综艺，肖战的剧什么时候上，想看想看想看想看支持肖战代言，肖战代言的产品质量好，吃着喝着用着让人开心也放心。肖战我好喜欢你
肖战斗罗大陆	我已经购买完毕！！支持正版，人人有责！！！你们呢xz
肖战顾魏	还有十分钟！今天不破十万我不睡觉！来九百多个虾爬子救救我xz
肖战	幸好在520之前收到了[好喜欢]灯箱太好看了，百威真的用心了@百威啤酒（我拙劣的拍照技术拍不出这个灯箱的美），肖战未来要一直走花路呀
肖战斗罗大陆	xz扩鬼故事来了，赶紧多发夸夸
肖战1005生日快乐	.七.『军阀少帅＆天涯歌女』他略略侧身，不费余力把我困在逼仄得沙发角落里，我退无可退。“军长自重！”几番挣扎间，衣襟盘扣松落，莹莹锁骨处一片凉意，许我挣扎得激烈，食指的银戒指刮伤了他的手背。“呵……够野。”我以为他会震怒，却不成想手上的伤口愈发激起他的兴致。他淡淡扯出一丝笑意，举起手背，示意我弄干净。我忍着泪，轻轻去吻他的伤。“还跟我装什么欲擒故纵的把戏？”【见图】晚点有混剪[爱你]（笑不出声，这篇发了三次了）【西江月】目录：第六回：第八回【西江月剧情混剪】西江月xzzzxzggxfx肖战1005生日快乐
肖战最好的你	坚果和坚果爸爸xz
肖战公益一路有你	xz肖战粉丝在肖战生日之际向中国青少年发展基金会捐赠50万用于建设一所希望小学！希望小学以“光点”命名，希望可以帮助贫困县的孩子们改善学习和生长环境[心]以生日之名让爱与公益同行，真的太棒了
肖战	xzxz时间总是把对你最好的人留在最后，毕竟喜欢就像一阵风而爱是细水长流我们在，GN💤
肖战最好的你	今日积分贴，指路必回。东莞显示地图
肖战	好运来🌈
肖战唐三	xz今日份养耗[加油]求兔1000+，多谢肖战优秀艺人肖战前路坦荡肖战一帆风顺
苏战	《西江月》｜四十九章｜民国军阀有人说这斐小姐是萧少帅一见钟情定下的，非卿不娶。也有人传是萧少帅承了美人恩，不得不还。传言多了，就连萧战也笑着逗她“美人恩重，我怎么还？”【西江月】肖战民国《西江月》合集肖战民国向
狼殿下肖战	xz不错，我们狼，腾讯视频单平台播放量过十亿啦！！撒花
肖战	xz来自@甜甜眼镜糖果的接力分享相册最后一张照片发表原创！来给大家分享！下面请@遭人厌_viynhy@思尔东南@杨琛絮-Ustinian@NutSister@劳拉DAYTOY打扰了
肖战	星星没你亮，肖哥你最棒，新年新气象，牛年必须强！没啥，就想牛年给哥整个排面
苏战	三十四『军阀少帅＆天涯歌女』“卿卿，你怕是以后不能这么穿，你要这么穿，我就没心情去陆军部了。”“光天化日，有辱斯文……”斐夏声音闷闷得。“斯文？卿卿教教我，什么叫斯文？”他握住她的手，十指交错，语气里不容一丝的抗拒“卿卿，在江沪，没人敢论我的不是。”欢迎来看【我见皇叔多妩媚】我见皇叔多妩媚【西江月】肖战民国《西江月》合集肖战民国向
肖战	xz实时不稳定[衰]，养耗求兔兔，多谢！肖战正能量肖战优秀
肖战斗罗大陆	转发理由://@hahamaru0827:码明天继续！原始用户:肖战影音会官微转发内容:【会追剧•二十四桥明月夜】本周，电视剧《斗罗大陆》开播！我们收获了——一套观剧日历：；一场发布会：；一张发布会花絮照：；两个预告：、；两张多人海报：、；三张单人海报：、、；三段花絮：、、。其中，字字铿锵，追梦路上，永远坚定；心怀信念，有一种恰到好处的分寸感。我们陪唐三——进行了武魂觉醒仪式：；见证了蓝银草的缠绕技能：。我们看三哥拿下了两个百年魂环——第一魂技为缠绕，获取方式为曼陀罗蛇：第二魂技为寄生，获取方式为鬼藤：我们在过程中解锁了多面三哥——烘干机：；斗罗拽哥：；手艺人：；重情重义：。此外，有观剧指南、入门宝典在手，相信各位在追剧过程中会更加游刃有余！圆满的一周就要结束，再回顾我们充实忙碌的身影，明天继续追斗罗！🔨+
肖战顾魏	转发理由:悄悄，是心上的肖肖！原始用户:parasolgirl转发内容:xz❣️“他走在光影里，好像无云的夜空，繁星闪烁。”❣️用一次擦肩而过的回眸，跌进一个空旷宁静的世界，走进他的双眼，走近他的心房。你好，顾魏，余生请多指教。肖战余生请多指教肖战顾魏
肖战斗罗大陆	xz肖战✨愿你所去之地皆有阳光✨愿你将遇之人皆为良善✨愿你所得皆所期，所失亦无碍。
肖战	转发理由://@itsashou_:疾风扬幕起，策马冲江湖！赏金猎人专心准备接单中…原始用户:Vlinkage转发内容:【寻艺指数】11月24日(电视剧演员)Top20榜单：，，，排名前3位，，，，分列4、5、6位。
肖战余生请多指教	来一波怼脸暴击，360度的帅，颜值爆表，是九宫格装不下的好看，虾虾们想亲上去吗
肖战最好的你	捞xz『每一个角色带来的感觉都不一样，却一次比一次更让人心动，一眼万年或许就是如此这般。』肖战温柔善良肖战斗罗大陆肖战温暖肖战余生请多指教xzxzgg肖战壁纸cr.水印
苏战	《我见皇叔多妩媚》｜第六章｜这日下朝早，水榭楼台凭栏处，湖面上一层薄雪，天与云与山与水，上下一白。北堂墨染坐亭子里煮青梅酒，远远就看见北堂玥披着明黄色蜀锦大氅朝这边走来。走几步又停下来了，似乎在思索什么。【更新合集】我见皇叔多妩媚xz肖战北堂墨染古言
向全世界安利肖战	西装鲨太可以了[憧憬]随手就能放18张有没有你没见过的西装战💓点开图片👇🏻是心动啊xzgg
肖战	肖战，十月平安顺利好运都给你
肖战余生请多指教	我真的太喜欢看肖战吃东西了，太爱了战战，你一点都不胖，要多吃点，好好照顾自己
肖战	转发理由://@小赞的猫儿:哈哈哈哈哈哈哈这个厉害了//@CurrantRaspberry1005:喝魄斯！评论配图原始用户:低糖陨星转发内容:赞[1391]原文转发[1105]原文评论[207]转发理由://@小
肖战斗罗大陆	xzxz今日积分贴，喜欢你内敛不张扬却光芒自放万丈
肖战	新惊喜！！！肖战新代言官宣！💥“只要向着光奔跑，就会越来越牛”新代言一官宣小程序就崩了！肖战商业价值太牛了！新的一年顺顺利利健健康康牛气冲天，冲冲冲！
肖战	转发理由://@parasolgirl://@余年xz光点://@玥铖xzDAYTOY:七夕快乐//@追逐从容:惊喜快乐//@1005号虾虾能量客栈:期待七夕惊喜原始用户:小鹿茶luckintea转发内容:💑七夕快乐！这里有一份小鹿茶七夕特别饮品单~快和心爱的Ta一起去喝吧😘小鹿茶也为你准备了七夕惊喜，下午见
肖战余生请多指教	xz世界上有五种辣：微辣，中辣，麻辣，变态辣，我想你辣肖战
肖战	10点记录📝还是很猛的俺们斗罗
肖战	xz在线请三哥出个丸子头教程如何？
肖战余生请多指教	xz肖战正能量艺人，肖战和粉丝一起热心做公益，肖战演技好，肖战唱歌棒，肖战颜值高，肖战很暖心，肖战人品好，肖战有礼貌，肖战工作努力，肖战非常敬业，肖战尊敬前辈，肖战绅士风度，肖战三观正，肖战引领粉丝越来越优秀，肖战是根正苗红的好艺人！我喜欢肖战！
狼殿下肖战	xz宝宝们，知道大家很忙，但是还是提醒一下检查一下寻明权了吗？送花了吗？签到了吗？盖楼了吗忘记了的赶紧哦不会的看这里寻艺明权和送花盖楼
肖战	xz好乖，很好骗的样子[微笑]
向全世界安利肖战	转发理由:我要每天都涂314，超级好看！//@肖战资源组:||截修18P20191209雅诗兰黛视频原始用户:雪杨凌转发内容:雅诗兰黛的广告我[跪了]了——肖战
肖战余生请多指教	那必然得有冰球战一席之地了！！博观而约取，厚积而薄发。演员肖战，砥砺前行。漫漫星光路，殷殷至诚心。
肖战斗罗大陆	xzxz来20只数据🦐，给我们大帅哥攒积分啦
肖战	合抱之木，生于毫末；九层之台，起于累土。千里之行，始于足下。——老子《道德经》
肖战	阳光明媚气温开始有点回升了~
肖战1005生日快乐	生日快乐希望我的29岁也能像你一样,迎风奔跑。不惧困难和挑战！成为最好的自己爱生活爱自己爱你
肖战	Wearemadetolove
肖战	拼一下？？
肖战	今天也是爱有钱の1天
肖战余生请多指教	[给你小心心]xz白衬衫造型，帅气清新！干净阳光！简约时尚！好撩人啊！！！太燃了，今天也是为美貌尖叫的一天啊啊啊啊啊啊
肖战最好的你	xz大量兔兔，谢谢❗肖战正能量艺人！肖战暖心！肖战演技好！肖战超帅！
肖战	支持虾虾溺爱兔兔，贯彻落实不放过一个虾虾原则，为兔兔有幼兔园上而不断努力奋斗，同时虾虾需要采用辩证客观的角度看待其他虾虾，善于发掘潜藏虾虾属性，共建和谐美好的虾兔星球。
肖战斗罗大陆	xz保持清醒，永远热爱，他是歌手也是演员，初识他在陈情，再遇便是余生，期待肖战待播剧☞《余生请多指教》《狼殿下》《斗罗大陆》❤️❤️狼殿下肖战肖战斗罗大陆
肖战我喜欢你	[心]世界的温柔，是晚来的善意和干净的你。捧在手心的宝贝，有手机，还有你七夕快乐
电视剧斗罗大陆	转发理由://@1005号肥虾饲养部:史兰客七怪齐心走、并肩行，永不言败原始用户:电视剧斗罗大陆转发内容:【魂力buff】战局诡谲，危机四起，史兰客七怪携手共进退！@吴宣仪_Betty@高泰宇GTY@刘美彤@Liurn刘润南@丁笑滢@敖子逸
肖战	本肖战粉丝觉得肖战图片好帅！但是比起肖战王牌部队路透图，我还是觉得肖战工作室发的图更清晰，更适合做肖战壁纸！一边用着唯品会一边吃着开小灶趣多多一边开着北京现代期待肖战待播剧余生请多指教呀！肖战平安喜乐肖战顺顺利利我喜欢肖战
肖战	我喜欢肖战肖战好帅肖战演技好肖战唱歌好听肖战作品好看期待肖战余生请多指教期待肖战顾魏肖战粉丝支持肖战代言支持肖战影视综艺肖战斗罗大陆肖战唐三肖战平平安安顺顺利利健健康康（养🐭）032108
肖战斗罗大陆	|天气预报说今天的雨是甜的，分不清是因为奶糖味道的云朵，还是因为比奶糖更甜的你
肖战斗罗大陆	虾壳的宝宝们，还有谁没做寻权吗？ballball了十秒钟搞定，不耽误追剧的xz
肖战斗罗大陆	xz宝贝们，抽三十秒来做一下寻权哦❗️❗️送花了吗？送花链接签到了吗？盖楼了吗？做完了继续【弹幕】和【评论】
肖战	通往肖兔子先森心里の门票
肖战斗罗大陆	xz今天开始超话不抛分了，已经超千万，留意就好❗[抱一抱]多囤点，留到下周一（即周日晚上12点过后抛】
肖战	转发理由://@肖战网宣官微:是拥有双生武魂的天才少年唐三，也是熠熠闪光的大明星肖战，期待两者碰撞产生精彩的火花，看天才少年主宰大陆，登上巅峰！原始用户:电视剧斗罗大陆转发内容:“那就说好了，从今天起，你就是我妹妹，不管出现什么事，我都会保护你。我发誓。”“我很强的，我也能保护你。”@火箭少女101_吴宣仪
肖战	转发理由:兔兔早上好原始用户:NAR·KISSOS1005丨肖战转发内容:👀早上好鸭！
肖战我喜欢你	活力满满的肖学长！！！xz
