,微博正文,点赞数,转发数,评论数,附图,附链接,TAG,明星,清洗正文
10,转发理由://@肖战工作室:唐三顺利毕业，@X玖少年团肖战DAYTOY精彩继续，期待再相遇！原始用户:X玖少年团肖战DAYTOY转发内容:万物有灵，当温柔以待。去发现自己的潜力，去创造属于自己的世界。无论结果是什么，我都会向阳而生。谢谢每一位工作人员，谢谢唐三你带给我的一切，再见了！[组图共9张]原图,0,0,0,"<re.Match object; span=(142, 151), match='[组图共9张]原图'>",[],[],['@X玖少年团肖战DAYTOY'],转发理由://@肖战工作室:唐三顺利毕业，@X玖少年团肖战DAYTOY精彩继续，期待再相遇！原始用户:X玖少年团肖战DAYTOY转发内容:万物有灵，当温柔以待。去发现自己的潜力，去创造属于自己的世界。无论结果是什么，我都会向阳而生。谢谢每一位工作人员，谢谢唐三你带给我的一切，再见了！
11,转发理由://@肖战影音会官微:#肖战[超话]#那些拼尽全力的奔走，都有迹可循，和唐三互相陪伴一起听风的日子，将永远被珍藏。#电视剧斗罗大陆收官#以诚为径，无远弗届，愿你抬眼时，总有绚烂烟火绽放。@X玖少年团肖战DAYTOY原始用户:X玖少年团肖战DAYTOY转发内容:万物有灵，当温柔以待。去发现自己的潜力，去创造属于自己的世界。无论结果是什么，我都会向阳而生。谢谢每一位工作人员，谢谢唐三你带给我的一切，再见了！[组图共9张]原图,0,0,0,"<re.Match object; span=(208, 217), match='[组图共9张]原图'>",[],"['肖战[超话]', '电视剧斗罗大陆收官']",['@X玖少年团肖战DAYTOY'],转发理由://@肖战影音会官微:那些拼尽全力的奔走，都有迹可循，和唐三互相陪伴一起听风的日子，将永远被珍藏。以诚为径，无远弗届，愿你抬眼时，总有绚烂烟火绽放。@X玖少年团肖战DAYTOY原始用户:X玖少年团肖战DAYTOY转发内容:万物有灵，当温柔以待。去发现自己的潜力，去创造属于自己的世界。无论结果是什么，我都会向阳而生。谢谢每一位工作人员，谢谢唐三你带给我的一切，再见了！
12,转发理由://@肖战工作室:唐三顺利毕业，@X玖少年团肖战DAYTOY精彩继续，期待再相遇！原始用户:X玖少年团肖战DAYTOY转发内容:万物有灵，当温柔以待。去发现自己的潜力，去创造属于自己的世界。无论结果是什么，我都会向阳而生。谢谢每一位工作人员，谢谢唐三你带给我的一切，再见了！[组图共9张]原图,0,0,0,"<re.Match object; span=(142, 151), match='[组图共9张]原图'>",[],[],['@X玖少年团肖战DAYTOY'],转发理由://@肖战工作室:唐三顺利毕业，@X玖少年团肖战DAYTOY精彩继续，期待再相遇！原始用户:X玖少年团肖战DAYTOY转发内容:万物有灵，当温柔以待。去发现自己的潜力，去创造属于自己的世界。无论结果是什么，我都会向阳而生。谢谢每一位工作人员，谢谢唐三你带给我的一切，再见了！
13,转发理由://@肖战影音会官微:#肖战[超话]#那些拼尽全力的奔走，都有迹可循，和唐三互相陪伴一起听风的日子，将永远被珍藏。#电视剧斗罗大陆收官#以诚为径，无远弗届，愿你抬眼时，总有绚烂烟火绽放。@X玖少年团肖战DAYTOY原始用户:X玖少年团肖战DAYTOY转发内容:万物有灵，当温柔以待。去发现自己的潜力，去创造属于自己的世界。无论结果是什么，我都会向阳而生。谢谢每一位工作人员，谢谢唐三你带给我的一切，再见了！[组图共9张]原图,0,0,0,"<re.Match object; span=(208, 217), match='[组图共9张]原图'>",[],"['肖战[超话]', '电视剧斗罗大陆收官']",['@X玖少年团肖战DAYTOY'],转发理由://@肖战影音会官微:那些拼尽全力的奔走，都有迹可循，和唐三互相陪伴一起听风的日子，将永远被珍藏。以诚为径，无远弗届，愿你抬眼时，总有绚烂烟火绽放。@X玖少年团肖战DAYTOY原始用户:X玖少年团肖战DAYTOY转发内容:万物有灵，当温柔以待。去发现自己的潜力，去创造属于自己的世界。无论结果是什么，我都会向阳而生。谢谢每一位工作人员，谢谢唐三你带给我的一切，再见了！
14,转发理由://@肖战工作室:唐三顺利毕业，@X玖少年团肖战DAYTOY精彩继续，期待再相遇！原始用户:X玖少年团肖战DAYTOY转发内容:万物有灵，当温柔以待。去发现自己的潜力，去创造属于自己的世界。无论结果是什么，我都会向阳而生。谢谢每一位工作人员，谢谢唐三你带给我的一切，再见了！[组图共9张]原图,0,0,0,"<re.Match object; span=(142, 151), match='[组图共9张]原图'>",[],[],['@X玖少年团肖战DAYTOY'],转发理由://@肖战工作室:唐三顺利毕业，@X玖少年团肖战DAYTOY精彩继续，期待再相遇！原始用户:X玖少年团肖战DAYTOY转发内容:万物有灵，当温柔以待。去发现自己的潜力，去创造属于自己的世界。无论结果是什么，我都会向阳而生。谢谢每一位工作人员，谢谢唐三你带给我的一切，再见了！
15,转发理由://@肖战影音会官微:#肖战[超话]##电视剧斗罗大陆收官#倏忽春至，微光杳杳，少年阔步而来，不愧不怍，不矜不伐。再见，唐三；你好，肖战@X玖少年团肖战DAYTOY原始用户:肖战工作室转发内容:少年义勇挽狂澜，心存烈焰俯天地。你好唐三，再见唐三。@X玖少年团肖战DAYTOY#电视剧斗罗大陆收官##肖战[超话]#原图,0,0,0,"<re.Match object; span=(161, 163), match='原图'>",[],"['肖战[超话]', '电视剧斗罗大陆收官', '电视剧斗罗大陆收官', '肖战[超话]']","['@X玖少年团肖战DAYTOY', '@X玖少年团肖战DAYTOY']",转发理由://@肖战影音会官微:倏忽春至，微光杳杳，少年阔步而来，不愧不怍，不矜不伐。再见，唐三；你好，肖战@X玖少年团肖战DAYTOY原始用户:肖战工作室转发内容:少年义勇挽狂澜，心存烈焰俯天地。你好唐三，再见唐三。@X玖少年团肖战DAYTOY
16,我为#肖战[超话]#贡献66影响力，超话目前在明星超话No.1！戳这里→http://t.cn/RrKeREG跟我一起助TA荣登超话封面吧~,0,0,0,,['http://t.cn/RrKeREG'],['肖战[超话]'],[],我为贡献66影响力，超话目前在明星超话No.1！戳这里→跟我一起助TA荣登超话封面吧~
17,转发理由:央爹，看我看我原始用户:CCTV电视剧转发内容:#斗罗大陆央八经典剧场收官#【转起！赢斗罗大陆定制盲盒】截至目前，#斗罗大陆全网播放量超43.2亿#，央视频端内播放量超6千万，感谢大家的支持央八经典剧场收官之日有惊喜~转发这条微博，小8将在明天18点随机抽取8名幸运剧迷，每人送出《斗罗大陆》定制盲盒一份！冲冲冲！抽奖详情原图,0,0,0,"<re.Match object; span=(166, 168), match='原图'>",[],"['斗罗大陆央八经典剧场收官', '斗罗大陆全网播放量超43.2亿']",[],转发理由:央爹，看我看我原始用户:CCTV电视剧转发内容:【转起！赢斗罗大陆定制盲盒】截至目前，，央视频端内播放量超6千万，感谢大家的支持央八经典剧场收官之日有惊喜~转发这条微博，小8将在明天18点随机抽取8名幸运剧迷，每人送出《斗罗大陆》定制盲盒一份！冲冲冲！抽奖详情
18,转发理由:康康我，唐三超帅原始用户:CCTV电视剧转发内容:#斗罗大陆央八经典剧场收官#【转起！赢斗罗大陆定制盲盒】截至目前，#斗罗大陆全网播放量超43.2亿#，央视频端内播放量超6千万，感谢大家的支持央八经典剧场收官之日有惊喜~转发这条微博，小8将在明天18点随机抽取8名幸运剧迷，每人送出《斗罗大陆》定制盲盒一份！冲冲冲！抽奖详情原图,0,0,0,"<re.Match object; span=(167, 169), match='原图'>",[],"['斗罗大陆央八经典剧场收官', '斗罗大陆全网播放量超43.2亿']",[],转发理由:康康我，唐三超帅原始用户:CCTV电视剧转发内容:【转起！赢斗罗大陆定制盲盒】截至目前，，央视频端内播放量超6千万，感谢大家的支持央八经典剧场收官之日有惊喜~转发这条微博，小8将在明天18点随机抽取8名幸运剧迷，每人送出《斗罗大陆》定制盲盒一份！冲冲冲！抽奖详情
19,转发理由:转发微博原始用户:肖战工作室转发内容:三哥@X玖少年团肖战DAYTOY竖版剧照奉上，换壁纸啦#肖战[超话]#[组图共6张]原图,1,0,0,"<re.Match object; span=(59, 68), match='[组图共6张]原图'>",[],['肖战[超话]'],['@X玖少年团肖战DAYTOY'],转发理由:转发微博原始用户:肖战工作室转发内容:三哥@X玖少年团肖战DAYTOY竖版剧照奉上，换壁纸啦
20,转发理由:转发微博原始用户:肖战影音会官微转发内容:#唐三bking时刻#[加油]#肖战用心诠释史兰客精神#【会追剧•燃情斗罗】天生满魂力，双生武魂，玄天宝录，外附魂骨……“史兰客学苑，唐三参战！”一起欣赏三哥@X玖少年团肖战DAYTOY的高燃时刻吧！肖战影音会官微的微博视频,1,0,0,,[],"['唐三bking时刻', '肖战用心诠释史兰客精神']",['@X玖少年团肖战DAYTOY'],转发理由:转发微博原始用户:肖战影音会官微转发内容:[加油]【会追剧•燃情斗罗】天生满魂力，双生武魂，玄天宝录，外附魂骨……“史兰客学苑，唐三参战！”一起欣赏三哥@X玖少年团肖战DAYTOY的高燃时刻吧！肖战影音会官微的微博视频
21,#唐三bking时刻#|#肖战用心诠释史兰客精神#来看看“肖氏独门绝技”，这是什么秀得飞起的技能？看了好几遍也不知道怎么操作，你们学废了吗肖战@X玖少年团肖战DAYTOY唐三bking时刻肖战用心诠释史兰客精神东方卫视我们的歌的微博视频,41,2,254,,[],"['唐三bking时刻', '肖战用心诠释史兰客精神']",['@X玖少年团肖战DAYTOY'],|来看看“肖氏独门绝技”，这是什么秀得飞起的技能？看了好几遍也不知道怎么操作，你们学废了吗肖战@X玖少年团肖战DAYTOY唐三bking时刻肖战用心诠释史兰客精神东方卫视我们的歌的微博视频
22,我为#肖战[超话]#贡献66影响力，影响力越多排名越高！戳这里→http://t.cn/RrKeREG~跟我一起打榜提高排名吧~,0,0,0,,['http://t.cn/RrKeREG'],['肖战[超话]'],[],我为贡献66影响力，影响力越多排名越高！戳这里→~跟我一起打榜提高排名吧~
23,我为#肖战[超话]#贡献10影响力，影响力越多排名越高！戳这里→http://t.cn/RrKeREG~跟我一起打榜提高排名吧~,0,0,0,,['http://t.cn/RrKeREG'],['肖战[超话]'],[],我为贡献10影响力，影响力越多排名越高！戳这里→~跟我一起打榜提高排名吧~
24,#肖战斗罗大陆#丨#肖战余生请多指教#肖战斗罗大陆肖战余生请多指教时间很短，天涯很远，今后的一山一水，一朝一夕，只想与你安静地走完~@X玖少年团肖战DAYTOY肖战@X玖少年团肖战DAYTOY[组图共9张]原图,194,13,263,"<re.Match object; span=(96, 105), match='[组图共9张]原图'>",[],"['肖战斗罗大陆', '肖战余生请多指教']","['@X玖少年团肖战DAYTOY', '@X玖少年团肖战DAYTOY']",丨肖战斗罗大陆肖战余生请多指教时间很短，天涯很远，今后的一山一水，一朝一夕，只想与你安静地走完~@X玖少年团肖战DAYTOY肖战@X玖少年团肖战DAYTOY
25,我为#肖战[超话]#贡献66影响力，超话目前在明星超话No.1！戳这里→http://t.cn/RrKeREG跟我一起助TA荣登超话封面吧~,0,0,0,,['http://t.cn/RrKeREG'],['肖战[超话]'],[],我为贡献66影响力，超话目前在明星超话No.1！戳这里→跟我一起助TA荣登超话封面吧~
26,#肖战斗罗大陆#xz#肖战唐三#因为有你@X玖少年团肖战DAYTOY，所以每一天都值得期待！我们一起努力前行，在最好的时间相遇，你在，我就一直在肖战@X玖少年团肖战DAYTOY[组图共9张]原图,306,18,287,"<re.Match object; span=(88, 97), match='[组图共9张]原图'>",[],"['肖战斗罗大陆', '肖战唐三']","['@X玖少年团肖战DAYTOY', '@X玖少年团肖战DAYTOY']",xz因为有你@X玖少年团肖战DAYTOY，所以每一天都值得期待！我们一起努力前行，在最好的时间相遇，你在，我就一直在肖战@X玖少年团肖战DAYTOY
27,转发理由:要亲签原始用户:牛蒙蒙官方微博转发内容:是的，蒙蒙终于站起来了！明天上午10:05牛蒙蒙小程序精彩活动再次来袭，你们关心的问题让蒙蒙一一解答。1.活动只在牛蒙蒙小程序举行，请不要迷路哦；2.活动会一直持续到3月20日，不用担心第一时间没参加会拿不到亲签（程序员哥哥表示压力很大）；3.最重要的一点，这一次不用花钱就有机会赢战哥亲签，想买牛奶的盆友们没想到吧具体的活动规则明天揭晓，蒙蒙保证真的很好玩˜那么，提前祝大家玩得开心原图,0,0,0,"<re.Match object; span=(217, 219), match='原图'>",[],[],[],转发理由:要亲签原始用户:牛蒙蒙官方微博转发内容:是的，蒙蒙终于站起来了！明天上午10:05牛蒙蒙小程序精彩活动再次来袭，你们关心的问题让蒙蒙一一解答。1.活动只在牛蒙蒙小程序举行，请不要迷路哦；2.活动会一直持续到3月20日，不用担心第一时间没参加会拿不到亲签（程序员哥哥表示压力很大）；3.最重要的一点，这一次不用花钱就有机会赢战哥亲签，想买牛奶的盆友们没想到吧具体的活动规则明天揭晓，蒙蒙保证真的很好玩˜那么，提前祝大家玩得开心
28,转发理由://@-奶黄包呀:大哥哥和小朋友#肖战冰球运动推广大使#原始用户:乐维文化LEVAY转发内容:#肖战献唱冬奥##肖战和小朋友合唱#乐维素质偶像王雨朵、陈一宁与肖战哥哥和当期所有出演的小朋友的合照来啦！乐维·中国愿陪伴你们在艺术的道路上一直璀璨！原图,0,0,0,"<re.Match object; span=(127, 129), match='原图'>",[],"['肖战冰球运动推广大使', '肖战献唱冬奥', '肖战和小朋友合唱']",[],转发理由://@-奶黄包呀:大哥哥和小朋友原始用户:乐维文化LEVAY转发内容:乐维素质偶像王雨朵、陈一宁与肖战哥哥和当期所有出演的小朋友的合照来啦！乐维·中国愿陪伴你们在艺术的道路上一直璀璨！
29,转发理由://@1005号虾虾能量客栈:保护自己的财产和信息安全，仔细当心，切勿上当，评论里的也要注意#肖战[超话]#原始用户:肖战影音会官微转发内容:近期有粉丝反映各大平台有影音会高仿号出现，并以此进行拉群、虚假宣传等行为。会会在此强调，肖战影音会在各平台的账号如下图所示，除此以外，其他账号均为假。请小飞侠们提高警惕，仔细辨别，切勿上当，保护自己的财产和信息安全。[组图共13张]原图,0,0,0,"<re.Match object; span=(184, 194), match='[组图共13张]原图'>",[],['肖战[超话]'],[],转发理由://@1005号虾虾能量客栈:保护自己的财产和信息安全，仔细当心，切勿上当，评论里的也要注意原始用户:肖战影音会官微转发内容:近期有粉丝反映各大平台有影音会高仿号出现，并以此进行拉群、虚假宣传等行为。会会在此强调，肖战影音会在各平台的账号如下图所示，除此以外，其他账号均为假。请小飞侠们提高警惕，仔细辨别，切勿上当，保护自己的财产和信息安全。
30,我为#肖战[超话]#贡献66影响力，超话目前在明星超话No.1！戳这里→http://t.cn/RrKeREG跟我一起助TA荣登超话封面吧~,0,0,0,,['http://t.cn/RrKeREG'],['肖战[超话]'],[],我为贡献66影响力，超话目前在明星超话No.1！戳这里→跟我一起助TA荣登超话封面吧~
31,转发理由://@你该美丽中带着刺:#肖战冰球运动推广大使#上一期跟@X玖少年团肖战DAYTOY一起感受到了国家体育馆的美和智慧，也体会到了男子冰球这项运动的力量和热血。冬奥加油，冰球加油原始用户:冬梦之约官方微博转发内容:#陈伟霆我的梦想是参加冬奥会##冬梦之约#起山林之间，承冬奥梦想，41条雪道，纳四海雪友！@William威廉陈伟霆收到来自@X玖少年团肖战DAYTOY的信息传递，“冬奥场地是我的梦想，很多人知道我很想参加冬奥会！”本期节目中，陈伟霆将走进北京2022年冬奥会比赛场地云顶滑雪公园，带大家一起感受滑雪运动的激情和魅力！冬梦之约官方微博的微博视频,0,0,0,,[],"['肖战冰球运动推广大使', '陈伟霆我的梦想是参加冬奥会', '冬梦之约']","['@X玖少年团肖战DAYTOY', '@X玖少年团肖战DAYTOY']",转发理由://@你该美丽中带着刺:上一期跟@X玖少年团肖战DAYTOY一起感受到了国家体育馆的美和智慧，也体会到了男子冰球这项运动的力量和热血。冬奥加油，冰球加油原始用户:冬梦之约官方微博转发内容:起山林之间，承冬奥梦想，41条雪道，纳四海雪友！@William威廉陈伟霆收到来自@X玖少年团肖战DAYTOY的信息传递，“冬奥场地是我的梦想，很多人知道我很想参加冬奥会！”本期节目中，陈伟霆将走进北京2022年冬奥会比赛场地云顶滑雪公园，带大家一起感受滑雪运动的激情和魅力！冬梦之约官方微博的微博视频
32,转发理由:纯虾，误伤，看看澄清//@怎样拥有肖战啊:抬//@冲冠一怒昊天锤:抬走//@下雨天和发呆更配:拉黑//@肖战在我床上呢呢嘘://@肖家姜姜是唯://@碌碌小兔牙-://@洞花秋不落:真努力啊//@初见朝阳1://@待云起时-waiting:艹，都大咖了，快拉黑//@是苏眠:大披皮//@改下艾迪:我的天哪//@叫我先知DAYTOY:掉皮！转发内容:抱歉，由于作者设置，你暂时没有这条微博的查看权限哦。查看帮助：http://t.cn/RfdBWwP,1,0,4,,['http://t.cn/RfdBWwP'],[],[],转发理由:纯虾，误伤，看看澄清//@怎样拥有肖战啊:抬//@冲冠一怒昊天锤:抬走//@下雨天和发呆更配:拉黑//@肖战在我床上呢呢嘘://@肖家姜姜是唯://@碌碌小兔牙-://@洞花秋不落:真努力啊//@初见朝阳1://@待云起时-waiting:艹，都大咖了，快拉黑//@是苏眠:大披皮//@改下艾迪:我的天哪//@叫我先知DAYTOY:掉皮！转发内容:抱歉，由于作者设置，你暂时没有这条微博的查看权限哦。查看帮助：
33,转发理由:澄清，首页拉的放一下原始用户:谢尔的管家转发内容:对于今天被挂一事，我真的是长见识了，许多人可能连前因后果都不知道就跟着拉呀咔呀，如果我图3这样理解都是错的话，我没什么可说的了！图4是我在2021年1月21日左右买了牛蒙蒙的牛奶，我有一整套明信片，图5是去年那次肖战被采访我写的长文，那天的采访我反复看了很多遍，哭了一夜，就是不知道怎么了，眼泪不听话，图6和图7是我考古翻到的图，据说那是肖战第一次有应援，虽然就一个人，但是那个小姐姐很勇敢，也许当时幸亏有她在，要不然我们肖战就太可怜了在守护肖战的道路上，也许你们不需要我，但是我需要肖战，我想守护肖战[组图共7张]原图,1,0,7,"<re.Match object; span=(281, 290), match='[组图共7张]原图'>",[],[],[],转发理由:澄清，首页拉的放一下原始用户:谢尔的管家转发内容:对于今天被挂一事，我真的是长见识了，许多人可能连前因后果都不知道就跟着拉呀咔呀，如果我图3这样理解都是错的话，我没什么可说的了！图4是我在2021年1月21日左右买了牛蒙蒙的牛奶，我有一整套明信片，图5是去年那次肖战被采访我写的长文，那天的采访我反复看了很多遍，哭了一夜，就是不知道怎么了，眼泪不听话，图6和图7是我考古翻到的图，据说那是肖战第一次有应援，虽然就一个人，但是那个小姐姐很勇敢，也许当时幸亏有她在，要不然我们肖战就太可怜了在守护肖战的道路上，也许你们不需要我，但是我需要肖战，我想守护肖战
34,转发理由://@1005号虾虾能量客栈:#肖战陌森眼镜品牌代言人#MOLSIONSTYLE|镜头对准，入夏墨镜造型已凹好！等你来挑战！#肖战[超话]#原始用户:MOLSION陌森眼镜转发内容:MOLSIONSTYLE|镜头对准，与我同“型”🕶陌森「入夏墨镜造型」PK赛已开启👉即日起至3月31日到小红🍠参与#入夏墨镜造型#挑战即有机会赢取明星精美海报周边明星同款眼镜杀，等你来挑战！#直面每一面##肖战陌森眼镜品牌代言人#原图,0,0,0,"<re.Match object; span=(211, 213), match='原图'>",[],"['肖战陌森眼镜品牌代言人', '肖战[超话]', '入夏墨镜造型', '直面每一面', '肖战陌森眼镜品牌代言人']",[],转发理由://@1005号虾虾能量客栈:MOLSIONSTYLE|镜头对准，入夏墨镜造型已凹好！等你来挑战！原始用户:MOLSION陌森眼镜转发内容:MOLSIONSTYLE|镜头对准，与我同“型”🕶陌森「入夏墨镜造型」PK赛已开启👉即日起至3月31日到小红🍠参与挑战即有机会赢取明星精美海报周边明星同款眼镜杀，等你来挑战！
35,我为#肖战[超话]#贡献66影响力，超话目前在明星超话No.1！戳这里→http://t.cn/RrKeREG跟我一起助TA荣登超话封面吧~,0,0,0,,['http://t.cn/RrKeREG'],['肖战[超话]'],[],我为贡献66影响力，超话目前在明星超话No.1！戳这里→跟我一起助TA荣登超话封面吧~
36,转发理由:室，这里有好东西@肖战工作室原始用户:厮吻转发内容:宝今天去吃甜品了但是我还是最喜欢你给我煮的独家甜品闭门羹@X玖少年团肖战DAYTOY,0,0,0,,[],[],['@X玖少年团肖战DAYTOY'],转发理由:室，这里有好东西@肖战工作室原始用户:厮吻转发内容:宝今天去吃甜品了但是我还是最喜欢你给我煮的独家甜品闭门羹@X玖少年团肖战DAYTOY
37,#肖战斗罗大陆#xz#肖战唐三#追星的大概意义就是，仰望星空的同时，努力成为那个也会发光的人肖战@X玖少年团肖战DAYTOY[组图共9张]原图,268,9,247,"<re.Match object; span=(62, 71), match='[组图共9张]原图'>",[],"['肖战斗罗大陆', '肖战唐三']",['@X玖少年团肖战DAYTOY'],xz追星的大概意义就是，仰望星空的同时，努力成为那个也会发光的人肖战@X玖少年团肖战DAYTOY
