,微博正文,点赞数,转发数,评论数,附图,附链接,TAG,明星,清洗正文
10,转发理由://@岁月漫长长长://@微为玮未DAYTOY://@清风过河流:#肖战##肖战唐三##肖战余生请多指教#//@花中飞花:#肖战##肖战斗罗大陆##肖战唐三#//@拾梦DAYTOY:见转//@拥抱月亮的星呀星://@心碎却着迷:来给点点挣奶粉钱，转赞评➕内赞点满原始用户:心碎却着迷转发内容:#肖战[超话]##出场必出彩#那必然得有冰球战一席之地了！！博观而约取，厚积而薄发。演员肖战@X玖少年团肖战DAYTOY，砥砺前行。漫漫星光路，殷殷至诚心。#肖战余生请多指教#[组图共9张]原图赞[315514]原文转发[25712]原文评论[35377]转发理由://@岁月漫长长长://@微为玮未DAYTOY://@清风过河流:#肖战##肖战唐三##肖战余生请多指教#//@花中飞花:#肖战##肖战斗罗大陆##肖战唐三#//@拾梦DAYTOY:见转//@拥抱月亮的星呀星://@心碎却着迷:来给点点挣奶粉钱，转赞评➕内,0,0,0,"<re.Match object; span=(239, 248), match='[组图共9张]原图'>",[],"['肖战', '肖战唐三', '肖战余生请多指教', '肖战', '肖战斗罗大陆', '肖战唐三', '肖战[超话]', '出场必出彩', '肖战余生请多指教', '肖战', '肖战唐三', '肖战余生请多指教', '肖战', '肖战斗罗大陆', '肖战唐三']",['@X玖少年团肖战DAYTOY'],转发理由://@岁月漫长长长://@微为玮未DAYTOY://@清风过河流://@花中飞花://@拾梦DAYTOY:见转//@拥抱月亮的星呀星://@心碎却着迷:来给点点挣奶粉钱，转赞评➕内赞点满原始用户:心碎却着迷转发内容:那必然得有冰球战一席之地了！！博观而约取，厚积而薄发。演员肖战@X玖少年团肖战DAYTOY，砥砺前行。漫漫星光路，殷殷至诚心。赞[315514]原文转发[25712]原文评论[35377]转发理由://@岁月漫长长长://@微为玮未DAYTOY://@清风过河流://@花中飞花://@拾梦DAYTOY:见转//@拥抱月亮的星呀星://@心碎却着迷:来给点点挣奶粉钱，转赞评➕内
11,转发理由://@Y-isasign:#肖战我喜欢你#//@惊世公子:前十有💰，见扩❗点赞//@李美美诶:点赞楼，大家多多楼中楼这条，记得楼中楼的内赞也点原始用户:李美美诶转发内容:#出场必出彩#那一定要说一下肖战了，神奇的舞台真的是太棒了。怀揣满腔热爱，在时光里迎风奔跑@X玖少年团肖战DAYTOY1005号虾虾能量客栈的微博视频赞[468328]原文转发[27022]原文评论[38477]转发理由://@Y-isasign:#肖战我喜欢你#//@惊世公子:前十有💰，见扩❗点赞//@李美美诶:点赞楼，大家多多楼中楼这条，记得楼中楼的内,0,0,0,,[],"['肖战我喜欢你', '出场必出彩', '肖战我喜欢你']",['@X玖少年团肖战DAYTOY'],转发理由://@Y-isasign://@惊世公子:前十有💰，见扩❗点赞//@李美美诶:点赞楼，大家多多楼中楼这条，记得楼中楼的内赞也点原始用户:李美美诶转发内容:那一定要说一下肖战了，神奇的舞台真的是太棒了。怀揣满腔热爱，在时光里迎风奔跑@X玖少年团肖战DAYTOY1005号虾虾能量客栈的微博视频赞[468328]原文转发[27022]原文评论[38477]转发理由://@Y-isasign://@惊世公子:前十有💰，见扩❗点赞//@李美美诶:点赞楼，大家多多楼中楼这条，记得楼中楼的内
12,转发理由://@猪宝贝DAYTOY://@哒哒哒小媛://@奋斗中的miaomiao://@童温婉DAYTOY:这个舞台后劲太大了，肖战好有魅力#肖战#原始用户:一菜二白转发内容:#出场必出彩#肖战《相爱后动物感伤》全开麦舞台来看看肖战的舞台表现力吧！真·耳朵怀孕系列，太稳了#肖战#xz@X玖少年团肖战DAYTOYWorldlyideal_肖战的微博视频,0,0,0,,[],"['肖战', '出场必出彩', '肖战']",['@X玖少年团肖战DAYTOY'],转发理由://@猪宝贝DAYTOY://@哒哒哒小媛://@奋斗中的miaomiao://@童温婉DAYTOY:这个舞台后劲太大了，肖战好有魅力原始用户:一菜二白转发内容:肖战《相爱后动物感伤》全开麦舞台来看看肖战的舞台表现力吧！真·耳朵怀孕系列，太稳了xz@X玖少年团肖战DAYTOYWorldlyideal_肖战的微博视频
13,转发理由://@一菜二白:还差4000进前十//@一菜二白:有💰拿，全买点点子评论配图原始用户:一菜二白转发内容:#出场必出彩#肖战《相爱后动物感伤》全开麦舞台来看看肖战的舞台表现力吧！真·耳朵怀孕系列，太稳了#肖战#xz@X玖少年团肖战DAYTOYWorldlyideal_肖战的微博视频,0,0,0,,[],"['出场必出彩', '肖战']",['@X玖少年团肖战DAYTOY'],转发理由://@一菜二白:还差4000进前十//@一菜二白:有💰拿，全买点点子评论配图原始用户:一菜二白转发内容:肖战《相爱后动物感伤》全开麦舞台来看看肖战的舞台表现力吧！真·耳朵怀孕系列，太稳了xz@X玖少年团肖战DAYTOYWorldlyideal_肖战的微博视频
14,转发理由://@汤圆儿new://@鳄鱼的眼泪yy:#肖战顾魏#//@吃土的日子居然胖://@宋先生7548818861://@慕晚安安_:点点奶粉#肖战顾魏#xz#肖战余生请多指教#//@呆桃燚:还没到前十……虾虾来多多多多多多摁内赞！！都给点点宝贝！原始用户:呆桃燚转发内容:#出场必出彩#从舞台到荧幕，从歌手到演员。肖战从未停止努力。向阳而生，不忘初心。期待歌手、演员肖战更多的优秀作品！#肖战#[组图共9张]原图赞[620179]原文转发[36333]原文评论[51076]转发理由://@汤圆儿new://@鳄鱼的眼泪yy:#肖战顾魏#//@吃土的日子居然胖://@宋先生7548818861://@慕晚安安_:点点奶粉#肖战顾魏#xz#肖战余生请多指教#//@呆桃燚:还没到前十……虾虾来多多多多多多摁内,0,0,0,"<re.Match object; span=(201, 210), match='[组图共9张]原图'>",[],"['肖战顾魏', '肖战顾魏', '肖战余生请多指教', '出场必出彩', '肖战', '肖战顾魏', '肖战顾魏', '肖战余生请多指教']",[],转发理由://@汤圆儿new://@鳄鱼的眼泪yy://@吃土的日子居然胖://@宋先生7548818861://@慕晚安安_:点点奶粉xz//@呆桃燚:还没到前十……虾虾来多多多多多多摁内赞！！都给点点宝贝！原始用户:呆桃燚转发内容:从舞台到荧幕，从歌手到演员。肖战从未停止努力。向阳而生，不忘初心。期待歌手、演员肖战更多的优秀作品！赞[620179]原文转发[36333]原文评论[51076]转发理由://@汤圆儿new://@鳄鱼的眼泪yy://@吃土的日子居然胖://@宋先生7548818861://@慕晚安安_:点点奶粉xz//@呆桃燚:还没到前十……虾虾来多多多多多多摁内
15,转发理由://@顾野妻:#肖战我喜欢你#肖战我喜欢你原始用户:手捧星光送你转发内容:#出场必出彩#“如果这世界复杂、虚假、喧哗我用尽我的一切奔向你呀”@X玖少年团肖战DAYTOY满天星光只为你而来愿你一路繁花紫陌芬芳，鲜衣怒马身披荣光，目之所及皆是温暖，心之所向皆是朝阳#fanstube#肖战|用尽我的一切奔向你手捧星光送你的微博视频,0,0,0,,[],"['肖战我喜欢你', '出场必出彩', 'fanstube']",['@X玖少年团肖战DAYTOY'],转发理由://@顾野妻:肖战我喜欢你原始用户:手捧星光送你转发内容:“如果这世界复杂、虚假、喧哗我用尽我的一切奔向你呀”@X玖少年团肖战DAYTOY满天星光只为你而来愿你一路繁花紫陌芬芳，鲜衣怒马身披荣光，目之所及皆是温暖，心之所向皆是朝阳肖战|用尽我的一切奔向你手捧星光送你的微博视频
16,转发理由://@离小洛洛:咱们家剪刀手参赛养点点，大家快来转赞评原始用户:手捧星光送你转发内容:#出场必出彩#“如果这世界复杂、虚假、喧哗我用尽我的一切奔向你呀”@X玖少年团肖战DAYTOY满天星光只为你而来愿你一路繁花紫陌芬芳，鲜衣怒马身披荣光，目之所及皆是温暖，心之所向皆是朝阳#fanstube#肖战|用尽我的一切奔向你手捧星光送你的微博视频赞[784407]原文转发[32699]原文评论[40178]转发理由://@离小洛洛:咱们家剪刀手参赛养点点，大家快来转,0,0,0,,[],"['出场必出彩', 'fanstube']",['@X玖少年团肖战DAYTOY'],转发理由://@离小洛洛:咱们家剪刀手参赛养点点，大家快来转赞评原始用户:手捧星光送你转发内容:“如果这世界复杂、虚假、喧哗我用尽我的一切奔向你呀”@X玖少年团肖战DAYTOY满天星光只为你而来愿你一路繁花紫陌芬芳，鲜衣怒马身披荣光，目之所及皆是温暖，心之所向皆是朝阳肖战|用尽我的一切奔向你手捧星光送你的微博视频赞[784407]原文转发[32699]原文评论[40178]转发理由://@离小洛洛:咱们家剪刀手参赛养点点，大家快来转
17,转发理由://@十五想有钱:和肖战一起助力冬奥会！#肖战加盟冬梦之约#xz#肖战助力北京2022年冬奥会越野滑雪比赛#原始用户:CCTV4转发内容:【@X玖少年团肖战DAYTOY加盟《冬奥之约》，助力冰球运动探索冬奥场馆奥秘！】扫码下载央视频APP，来环球页面，与肖战相约#北京2022年冬奥会##肖战[超话]##肖战探索冬奥场馆##肖战助力北京2022年冬奥会越野滑雪比赛#[组图共9张]原图,0,0,0,"<re.Match object; span=(188, 197), match='[组图共9张]原图'>",[],"['肖战加盟冬梦之约', '肖战助力北京2022年冬奥会越野滑雪比赛', '北京2022年冬奥会', '肖战[超话]', '肖战探索冬奥场馆', '肖战助力北京2022年冬奥会越野滑雪比赛']",['@X玖少年团肖战DAYTOY'],转发理由://@十五想有钱:和肖战一起助力冬奥会！xz原始用户:CCTV4转发内容:【@X玖少年团肖战DAYTOY加盟《冬奥之约》，助力冰球运动探索冬奥场馆奥秘！】扫码下载央视频APP，来环球页面，与肖战相约
18,转发理由://@呆桃燚:和肖战一起，感受冰球运动的魅力！助力北京2022年冬奥会越野滑雪比赛！@X玖少年团肖战DAYTOY#肖战冰球运动推广大使#xz#肖战助力北京2022年冬奥会越野滑雪比赛#原始用户:CCTV4转发内容:【@X玖少年团肖战DAYTOY加盟《冬奥之约》，助力冰球运动探索冬奥场馆奥秘！】扫码下载央视频APP，来环球页面，与肖战相约#北京2022年冬奥会##肖战[超话]##肖战探索冬奥场馆##肖战助力北京2022年冬奥会越野滑雪比赛#[组图共9张]原图,0,0,0,"<re.Match object; span=(226, 235), match='[组图共9张]原图'>",[],"['肖战冰球运动推广大使', '肖战助力北京2022年冬奥会越野滑雪比赛', '北京2022年冬奥会', '肖战[超话]', '肖战探索冬奥场馆', '肖战助力北京2022年冬奥会越野滑雪比赛']","['@X玖少年团肖战DAYTOY', '@X玖少年团肖战DAYTOY']",转发理由://@呆桃燚:和肖战一起，感受冰球运动的魅力！助力北京2022年冬奥会越野滑雪比赛！@X玖少年团肖战DAYTOYxz原始用户:CCTV4转发内容:【@X玖少年团肖战DAYTOY加盟《冬奥之约》，助力冰球运动探索冬奥场馆奥秘！】扫码下载央视频APP，来环球页面，与肖战相约
19,转发理由://@肖战影音会官微:#肖战[超话]#会会给大家划好重点：超长、独家花絮。唐三@X玖少年团肖战DAYTOY的仰慕者们在哪里！[打call]#肖战斗罗大陆#[加油]#肖战唐三#原始用户:出戏转发内容:#电视剧斗罗大陆收官#给大家送上13分钟超长独家花絮，快来一起回顾史兰客七怪片场精彩瞬间。《斗罗大陆》收官13分钟超长花絮，回顾片场精彩瞬间,0,0,0,,[],"['肖战[超话]', '肖战斗罗大陆', '肖战唐三', '电视剧斗罗大陆收官']",['@X玖少年团肖战DAYTOY'],转发理由://@肖战影音会官微:会会给大家划好重点：超长、独家花絮。唐三@X玖少年团肖战DAYTOY的仰慕者们在哪里！[打call][加油]原始用户:出戏转发内容:给大家送上13分钟超长独家花絮，快来一起回顾史兰客七怪片场精彩瞬间。《斗罗大陆》收官13分钟超长花絮，回顾片场精彩瞬间
20,转发理由://@1005号虾虾能量客栈:独家花絮来袭！快来和唐三@X玖少年团肖战DAYTOY一起回顾史兰客七怪片场精彩瞬间。#肖战斗罗大陆#xz#电视剧斗罗大陆收官##肖战[超话]#原始用户:出戏转发内容:#电视剧斗罗大陆收官#给大家送上13分钟超长独家花絮，快来一起回顾史兰客七怪片场精彩瞬间。《斗罗大陆》收官13分钟超长花絮，回顾片场精彩瞬间,0,0,0,,[],"['肖战斗罗大陆', '电视剧斗罗大陆收官', '肖战[超话]', '电视剧斗罗大陆收官']",['@X玖少年团肖战DAYTOY'],转发理由://@1005号虾虾能量客栈:独家花絮来袭！快来和唐三@X玖少年团肖战DAYTOY一起回顾史兰客七怪片场精彩瞬间。xz原始用户:出戏转发内容:给大家送上13分钟超长独家花絮，快来一起回顾史兰客七怪片场精彩瞬间。《斗罗大陆》收官13分钟超长花絮，回顾片场精彩瞬间
21,#肖战爱心图书馆#为爱前行，我一直在路上。我在“肖战爱心图书馆”项目捐款成功！@扬帆计划肖战爱心图书馆,0,0,0,,[],['肖战爱心图书馆'],[],为爱前行，我一直在路上。我在“肖战爱心图书馆”项目捐款成功！@扬帆计划肖战爱心图书馆
22,转发理由://@X玖少年团肖战DAYTOY:警惕“杀猪盘”，转账需谨慎。不要轻易相信“一见如故”的网友！加入反诈联盟，一起守护您和家人的财产安全。原始用户:警民直通车-上海转发内容:#上海市公安局成立反诈联盟#你以为一见如故的知己网友，很可能是屏幕后的诈骗分子！反诈联盟成员@X玖少年团肖战DAYTOY提醒您：警惕“杀猪盘”，转账需谨慎。加入我们，一起守护您和家人的财产安全。警民直通车-上海的微博视频,0,0,0,,[],['上海市公安局成立反诈联盟'],"['@X玖少年团肖战DAYTOY', '@X玖少年团肖战DAYTOY']",转发理由://@X玖少年团肖战DAYTOY:警惕“杀猪盘”，转账需谨慎。不要轻易相信“一见如故”的网友！加入反诈联盟，一起守护您和家人的财产安全。原始用户:警民直通车-上海转发内容:你以为一见如故的知己网友，很可能是屏幕后的诈骗分子！反诈联盟成员@X玖少年团肖战DAYTOY提醒您：警惕“杀猪盘”，转账需谨慎。加入我们，一起守护您和家人的财产安全。警民直通车-上海的微博视频
23,转发理由://@X玖少年团肖战DAYTOY:平凡中有不凡。1月22日走进#电影武汉日夜#，向抗疫英雄致敬！原始用户:中国电影报道转发内容:#武汉日夜融媒体首映直播##武汉日夜首映#以平凡见证不凡，以真实演绎了不起的中国奇迹！这是中国人的坚强和善良，这是属于我们的中国故事！以爱之名，无畏前行，致敬英雄，向阳而生！#电影武汉日夜#1月22日全国上映，@X玖少年团肖战DAYTOY邀您观影，重温感动、见证温暖，真情告白“有你真好”！原图,0,0,0,"<re.Match object; span=(214, 216), match='原图'>",[],"['电影武汉日夜', '武汉日夜融媒体首映直播', '武汉日夜首映', '电影武汉日夜']","['@X玖少年团肖战DAYTOY', '@X玖少年团肖战DAYTOY']",转发理由://@X玖少年团肖战DAYTOY:平凡中有不凡。1月22日走进，向抗疫英雄致敬！原始用户:中国电影报道转发内容:以平凡见证不凡，以真实演绎了不起的中国奇迹！这是中国人的坚强和善良，这是属于我们的中国故事！以爱之名，无畏前行，致敬英雄，向阳而生！1月22日全国上映，@X玖少年团肖战DAYTOY邀您观影，重温感动、见证温暖，真情告白“有你真好”！
24,转发理由://@X玖少年团肖战DAYTOY:#2020无价的你##再见2020#2020，让我发现身体健康是无价的；2021，希望大家都能健健康康，顺顺利利！原始用户:人民日报转发内容:【2020年终演讲：无价】当说起2020，你会用什么形容？今晚@李宇春讲述《#2020无价的你#》，联合人民日报新媒体正式上线！其中是否有你的答案？带话题#再见2020#发布竖屏视频，向无价的2020说再见。参与征集的视频有机会出现在#再见2020全民短片#中，一起带着对2020的无价回忆，驶向2021！人民日报的微博视频,0,0,0,,[],"['2020无价的你', '再见2020', '2020无价的你', '再见2020', '再见2020全民短片']",['@X玖少年团肖战DAYTOY'],转发理由://@X玖少年团肖战DAYTOY:2020，让我发现身体健康是无价的；2021，希望大家都能健健康康，顺顺利利！原始用户:人民日报转发内容:【2020年终演讲：无价】当说起2020，你会用什么形容？今晚@李宇春讲述《》，联合人民日报新媒体正式上线！其中是否有你的答案？带话题发布竖屏视频，向无价的2020说再见。参与征集的视频有机会出现在中，一起带着对2020的无价回忆，驶向2021！人民日报的微博视频
25,转发理由://@X玖少年团肖战DAYTOY:#国家公祭日#铭记历史，珍爱和平，吾辈当自强！原始用户:央视新闻转发内容:【今日，请一起转发！铭记！为30万遇难同胞！】今天，南京大屠杀死难者#国家公祭日#。在那场持续6周的人间浩劫里，#南京大屠杀每隔12秒就有一人遇难#。今天，我们以国之名悼念逝者！不为延续仇恨，只为警醒：吾辈自强！原图,0,0,0,"<re.Match object; span=(165, 167), match='原图'>",[],"['国家公祭日', '国家公祭日', '南京大屠杀每隔12秒就有一人遇难']",['@X玖少年团肖战DAYTOY'],转发理由://@X玖少年团肖战DAYTOY:铭记历史，珍爱和平，吾辈当自强！原始用户:央视新闻转发内容:【今日，请一起转发！铭记！为30万遇难同胞！】今天，南京大屠杀死难者。在那场持续6周的人间浩劫里，。今天，我们以国之名悼念逝者！不为延续仇恨，只为警醒：吾辈自强！
26,转发理由://@X玖少年团肖战DAYTOY:#祖国山河一寸不能丢#致敬边防军人！致敬英雄！🇨🇳原始用户:央视新闻转发内容:【这就是中国人的态度：#祖国山河一寸不能丢#】致敬中国边防军人！转起！原图,0,0,0,"<re.Match object; span=(96, 98), match='原图'>",[],"['祖国山河一寸不能丢', '祖国山河一寸不能丢']",['@X玖少年团肖战DAYTOY'],转发理由://@X玖少年团肖战DAYTOY:致敬边防军人！致敬英雄！🇨🇳原始用户:央视新闻转发内容:【这就是中国人的态度：】致敬中国边防军人！转起！
27,@X玖少年团肖战DAYTOY我在#明星势力榜#内地榜上为你加油啦，你是我今生唯一的执著哦。棒棒哒！明星势力榜第2位,0,0,0,,[],['明星势力榜'],['@X玖少年团肖战DAYTOY'],@X玖少年团肖战DAYTOY我在内地榜上为你加油啦，你是我今生唯一的执著哦。棒棒哒！明星势力榜第2位
28,转发理由:@X玖少年团肖战DAYTOY我永远支持你！我们一起拿下#明星势力榜#第一名！原始用户:X玖少年团肖战DAYTOY转发内容:万物有灵，当温柔以待。去发现自己的潜力，去创造属于自己的世界。无论结果是什么，我都会向阳而生。谢谢每一位工作人员，谢谢唐三你带给我的一切，再见了！[组图共9张]原图,0,0,0,"<re.Match object; span=(139, 148), match='[组图共9张]原图'>",[],['明星势力榜'],['@X玖少年团肖战DAYTOY'],转发理由:@X玖少年团肖战DAYTOY我永远支持你！我们一起拿下第一名！原始用户:X玖少年团肖战DAYTOY转发内容:万物有灵，当温柔以待。去发现自己的潜力，去创造属于自己的世界。无论结果是什么，我都会向阳而生。谢谢每一位工作人员，谢谢唐三你带给我的一切，再见了！
29,我在#微博剧集榜#，看#电视剧斗罗大陆#，一起来看吧！斗罗大陆,0,0,0,,[],"['微博剧集榜', '电视剧斗罗大陆']",[],我在，看，一起来看吧！斗罗大陆
30,我在#微博剧集榜#，为#电视剧斗罗大陆#打榜，快来参与打榜吧！斗罗大陆,0,0,0,,[],"['微博剧集榜', '电视剧斗罗大陆']",[],我在，为打榜，快来参与打榜吧！斗罗大陆
31,转发理由:我在#微博剧集榜#，参与了@电视剧斗罗大陆互动，快来参与打榜吧！原始用户:电视剧斗罗大陆转发内容:【魂力buff】#电视剧斗罗大陆收官#毕业不是终途，未来长路漫漫，我们携手傲立斗罗之巅@X玖少年团肖战DAYTOY@吴宣仪_Betty@演员邱心志@高泰宇GTY@刘美彤@Liurn刘润南@丁笑滢@敖子逸[组图共9张]原图,0,0,0,"<re.Match object; span=(155, 164), match='[组图共9张]原图'>",[],"['微博剧集榜', '电视剧斗罗大陆收官']",['@X玖少年团肖战DAYTOY'],转发理由:我在，参与了@电视剧斗罗大陆互动，快来参与打榜吧！原始用户:电视剧斗罗大陆转发内容:【魂力buff】毕业不是终途，未来长路漫漫，我们携手傲立斗罗之巅@X玖少年团肖战DAYTOY@吴宣仪_Betty@演员邱心志@高泰宇GTY@刘美彤@Liurn刘润南@丁笑滢@敖子逸
